reportnsa conduct surveillance num percent usa internet	they are watched annoyed to get a good grade smart gets called a freak to be thorough to know how to do the analysis satisfied to get the best results	Lean Left
ben carson call zoning regulation driving housing cost	they have to pay the fees annoyed to get their car fixed responsible gets yelled at to get a better deal to have a problem frustrated to get paid	Lean Right
trump take num super tuesday state cruz take num	loses the game happy to win lucky is praised to be a winner to have the ability to take it happy to get a good deal	Lean Left
ukraine crisis pentagon russian jet violated airspace	people lose their jobs angry to get out of the airport careless gets into trouble to be correct to have a plane crash angry  to get out of trouble	Center
washington brawl barr versus mueller	people are affected annoyed to win the war aggressive gets arrested to be a good citizen to be in a meeting satisfied to win the race	Lean Left
fbi recommends criminal charge clinton email probe	gets fired angry to file a complaint smart gets a bad review to keep the peace to be in a bad position satisfied to get a good deal	Lean Left
trump lauds medal honor recipient hostage rescue	applaud proud to congratulate personx proud gets awards to be a hero to be a hero proud to be a hero	Lean Left
biden called trump travel restriction xenophobic	people get stressed annoyed to listen to personx smart gets into trouble to be a better person to have a reason for it happy to be a better driver	Right
conservative attack march life leader personal	people are attacked angry to get back to their homes aggressive gets arrested to get their way to be in charge of the people powerful to get rid of them	Left
trump administration claim ukraine aid stalled corruption concern decries medium frenzy	people are affected by the incident angry to get rid of him smart gets stressed to be a good citizen to be in office good to get a new office	Lean Right
arkansas lawmaker back nation restrictive abortion bill	people are arrested grateful to protest responsible gets a bill to be lawful to have a law abiding citizen satisfied to be a good citizen	Lean Left
hillary clinton email released asap	gets fired upset to thank them authoritative gets a new email to be a boss to have a problem relieved to get a new job	Lean Left
tillerson arrives moscow tension rise syria	people are affected angry to get away angry gets stressed to be in the presence of people to be invited to a diplomatic meeting nervous to go to russia	Center
google hearing test lawmaker tech knowledge	people get fired happy to give them a good grade smart gets stressed to be successful to have a job satisfied to get paid	Lean Left
bill maher charlie hebdo attack great religions; theyre stupid dangerous	none none none none none none none none none	Left
weak job report cloud economic picture	people lose money happy to see what they do smart gets fired to be a good citizen to have a view of the market happy to make a report	Lean Left
basic math make repealing amendment impossible john paul stevens	people are punished annoyed to get their money back smart is reprimanded to get a good grade to be in charge of the law relieved to get a new job	Lean Right
obama boehner talk phone exchange offer averting fiscal crisis	people get called out by personx annoyed to listen to personx smart gets called out by others to make sure people are safe to have the phone happy to make a phone call	Lean Right
donald trump reject protest seeking release tax return	gets sued annoyed to protest determined gets sued to be a better person to have the money to pay the tax return relieved to get a lawyer	Center
obama plan unveil agenda economy	people lose their jobs annoyed to get their job back ambitious gets yelled at to be successful to have the information satisfied to get a new job	Lean Left
incoherent obama policy egypt fire violence spread	people die angry to avoid the fire dangerous gets burned to kill people to be a racist bad about themselves to be a hero	Lean Right
senate pass usmca trade deal	loses money happy to get the money back smart gets money to be successful to have the money to pass happy to get a new job	Center
comey violated fbi policy handling memo detailing interaction trump inspector general find	is reprimanded angry to get a good grade smart is reprimanded to be a good agent to be a snitch nervous to get a new job	Lean Left
attorney general trump tweet doj make job impossible	gets fired annoyed to listen arrogant gets yelled at to be a success to have the knowledge proud of himself to be successful	Center
north carolina sweeping voter id law face legal challenge	people lose their homes angry to get their money back brave gets arrested to be in control to have a reason to do so justified to be successful	Lean Right
tea partyers fume paul ryans spending bill seek conservative challenger	gets drunk angry to get rid of personx mean gets arrested to be influential to be a politician happy to get a drink	Lean Right
trump sign memo vowing end catch-and-release illegal immigrant	people are caught angry to get away with it determined gets arrested to end the conflict to have a reason to commit the crime relieved to make sure they do not go to jail	Lean Right
cyber-attacks highlight growing vulnerability	people are in danger scared to get away brave gets arrested to be a leader to be in the wrong place at the right time powerful to make sure everyone is safe	Lean Left
bernie sander beat trump here math	they lose impressed to win the competition smart gets promoted to win to be good at math smart to win the game	Left
trump wanted ukraine-aid detail week zelensky call document	they are asked questions happy to get paid careless money to be prepared to have a job happy to get a deal	Lean Right
withdrawal syria gather speed amid accusation betrayal	people are attacked angry to find a new source of revenue aggressive gets arrested to be safe to have been cheated nervous to make a change	Lean Left
trump cpac era empty talk	people are more informed annoyed to listen to personx bored gets tired to be finished to be a politician satisfied to get back on track	Center
mcconnell senate vote monday confirm barrett supreme court	they are surprised angry to hear about it powerful to be correct to prove his innocence to have the authority good to make sure they do well	Lean Right
trump usa detainee north korea freed	people are enslaved angry to protest racist gets a new job to be a good leader to be a politician happy to make sure they are safe	Center
electoral college set vote today american show support revolt	vote upset to protest racist gets called racist to vote for the cause to be a racist justified to win the election	Right
pompeo qassem soleimani strike iran understands trump decisive action	none none none none none none none none none	Lean Right
cohen testimony trump lawyer trump knew stone talked wikileaks	gets nervous angry to listen to personx confident gets a lawyer to be heard to testify satisfied to get a lawyer	Lean Left
congressman wanted oust pelosi trump num	they get a raise happy to be successful greedy gets arrested to be successful to have a reason to get rid of the bugs satisfied to be successful	Right
fact-checking claim hunter china	hunter is questioned grateful to find a new case curious gets a receipt to be a good listener to research the cases satisfied to get paid	Lean Left
nbc admits chuck todd meet press deceptively edited barr remark flynn	gets fired angry to listen to the information clever is asked to stop to be a good liar to be a journalist satisfied to be a leader	Lean Right
dow tumbled bear market here long downturn average	people lose money happy to get a good deal careless gets a raise to be a success to be a gambler sad to get the best deal	Lean Right
senate spar claim obama report russian hacking	people are affected by the incident angry to get their money racist gets yelled at to be a good citizen to have the information justified to get a report back	Lean Right
clinton decries fake news speech election loss	people listen sad to hear more information mean gets yelled at by people to make a point to have heard bad news sad to make a change	Lean Right
republican hold north carolina congressional seat plagued election fraud	people lose money angry to win the election greedy gets called a liar to be a politician to have a lot of money happy to get away from people	Left
isi california killer soldier caliphate	they get killed scared to get away from personx brave they are killed by calipkillers to kill to have a job proud to kill them	Lean Right
crucial subset female voter deciding	vote for personx happy to vote for personx influential gets called a racist to vote to have a vote happy to win the election	Lean Left
cdc antibody test gauge number asymptomatic coronavirus case	they get cured worried to get better careful gets a disease to know the answer to be a doctor nervous to make sure they are healthy	Right
