Report:NSA conducts surveillance on 75 percent of U.S. Internet	they are watched annoyed to get a good grade smart gets called a freak to be thorough to know how to do the analysis satisfied to get the best results	Lean Left
Ben Carson Calls Out Zoning Regulations for Driving Up Housing Costs	they have to pay the fees annoyed to get their car fixed responsible gets yelled at to get a better deal to have a problem frustrated to get paid	Lean Right
Trump takes 6 Super Tuesday states Cruz takes 2	loses the game happy to win lucky is praised to be a winner to have the ability to take it happy to get a good deal	Lean Left
Ukraine crisis: Pentagon says Russian jets violated airspace	people lose their jobs angry to get out of the airport careless gets into trouble to be correct to have a plane crash angry  to get out of trouble	Center
The new Washington brawl: Barr versus Mueller	people are affected annoyed to win the war aggressive gets arrested to be a good citizen to be in a meeting satisfied to win the race	Lean Left
FBI recommends no criminal charges in Clinton email probe	gets fired angry to file a complaint smart gets a bad review to keep the peace to be in a bad position satisfied to get a good deal	Lean Left
Trump lauds Medal of Honor recipient for hostage rescue	applaud proud to congratulate personx proud gets awards to be a hero to be a hero proud to be a hero	Lean Left
Yes Biden Called Trump’s Travel Restrictions Xenophobic	people get stressed annoyed to listen to personx smart gets into trouble to be a better person to have a reason for it happy to be a better driver	Right
Conservative attacks on March for Our Lives leaders are getting very personal	people are attacked angry to get back to their homes aggressive gets arrested to get their way to be in charge of the people powerful to get rid of them	Left
Trump administration claims Ukraine aid was stalled over corruption concerns decries media ‘frenzy’	people are affected by the incident angry to get rid of him smart gets stressed to be a good citizen to be in office good to get a new office	Lean Right
Arkansas lawmakers back nation's most restrictive abortion bill	people are arrested grateful to protest responsible gets a bill to be lawful to have a law abiding citizen satisfied to be a good citizen	Lean Left
Hillary Clinton on her emails: I want them released ASAP	gets fired upset to thank them authoritative gets a new email to be a boss to have a problem relieved to get a new job	Lean Left
Tillerson Arrives in Moscow as Tensions Rise Over Syria	people are affected angry to get away angry gets stressed to be in the presence of people to be invited to a diplomatic meeting nervous to go to russia	Center
Google hearing will be a test of lawmakers' tech knowledge	people get fired happy to give them a good grade smart gets stressed to be successful to have a job satisfied to get paid	Lean Left
Bill Maher on Charlie Hebdo attacks: There are no great religions; they’re all stupid and dangerous	none none none none none none none none none	Left
Weak Jobs Report Clouds the Economic Picture	people lose money happy to see what they do smart gets fired to be a good citizen to have a view of the market happy to make a report	Lean Left
Basic math makes repealing the Second Amendment impossible (Sorry John Paul Stevens)	people are punished annoyed to get their money back smart is reprimanded to get a good grade to be in charge of the law relieved to get a new job	Lean Right
Obama Boehner talk by phone after exchange of offers on averting fiscal crisis	people get called out by personx annoyed to listen to personx smart gets called out by others to make sure people are safe to have the phone happy to make a phone call	Lean Right
Donald Trump Rejects Protests Seeking Release of His Tax Returns	gets sued annoyed to protest determined gets sued to be a better person to have the money to pay the tax return relieved to get a lawyer	Center
Obama Plans to Unveil His Agenda for Economy	people lose their jobs annoyed to get their job back ambitious gets yelled at to be successful to have the information satisfied to get a new job	Lean Left
'Incoherent' Obama policy on Egypt under fire as violence spreads	people die angry to avoid the fire dangerous gets burned to kill people to be a racist bad about themselves to be a hero	Lean Right
Senate passes USMCA trade deal	loses money happy to get the money back smart gets money to be successful to have the money to pass happy to get a new job	Center
Comey violated FBI policy in handling of memos detailing interactions with Trump inspector general finds	is reprimanded angry to get a good grade smart is reprimanded to be a good agent to be a snitch nervous to get a new job	Lean Left
Attorney General Says Trump's Tweets About DOJ Make His Job 'Impossible'	gets fired annoyed to listen arrogant gets yelled at to be a success to have the knowledge proud of himself to be successful	Center
North Carolina's sweeping voter ID law faces legal challenge	people lose their homes angry to get their money back brave gets arrested to be in control to have a reason to do so justified to be successful	Lean Right
Tea partyers fume over Paul Ryan’s spending bill seek conservative challenger	gets drunk angry to get rid of personx mean gets arrested to be influential to be a politician happy to get a drink	Lean Right
Trump signs memo vowing end to ‘catch-and-release’ of illegal immigrants	people are caught angry to get away with it determined gets arrested to end the conflict to have a reason to commit the crime relieved to make sure they do not go to jail	Lean Right
Cyber-attacks highlight growing vulnerability of us all	people are in danger scared to get away brave gets arrested to be a leader to be in the wrong place at the right time powerful to make sure everyone is safe	Lean Left
Bernie Sanders Can Beat Trump. Here’s the Math.	they lose impressed to win the competition smart gets promoted to win to be good at math smart to win the game	Left
Trump wanted Ukraine-aid details weeks before Zelensky call: documents	they are asked questions happy to get paid careless money to be prepared to have a job happy to get a deal	Lean Right
U.S. Withdrawal From Syria Gathers Speed Amid Accusations of Betrayal	people are attacked angry to find a new source of revenue aggressive gets arrested to be safe to have been cheated nervous to make a change	Lean Left
Trump At CPAC: 'The Era Of Empty Talk Is Over'	people are more informed annoyed to listen to personx bored gets tired to be finished to be a politician satisfied to get back on track	Center
McConnell: Senate will vote Monday to confirm Barrett to Supreme Court	they are surprised angry to hear about it powerful to be correct to prove his innocence to have the authority good to make sure they do well	Lean Right
Trump says USA detainees in North Korea have been freed	people are enslaved angry to protest racist gets a new job to be a good leader to be a politician happy to make sure they are safe	Center
With Electoral College Set to Vote Today Americans Show Little Support for Revolt	vote upset to protest racist gets called racist to vote for the cause to be a racist justified to win the election	Right
Pompeo on Qassem Soleimani strike: Iran now understands Trump will take 'decisive' action	none none none none none none none none none	Lean Right
Cohen testimony: Trump's former lawyer says Trump knew Stone talked to WikiLeaks	gets nervous angry to listen to personx confident gets a lawyer to be heard to testify satisfied to get a lawyer	Lean Left
Congressman Who Wanted To Oust Pelosi Wants To Take On Trump In 2020	they get a raise happy to be successful greedy gets arrested to be successful to have a reason to get rid of the bugs satisfied to be successful	Right
Fact-checking claims about Hunter Biden Joe Biden and China	hunter is questioned grateful to find a new case curious gets a receipt to be a good listener to research the cases satisfied to get paid	Lean Left
NBC admits Chuck Todd's 'Meet the Press' deceptively edited Barr remarks on Flynn	gets fired angry to listen to the information clever is asked to stop to be a good liar to be a journalist satisfied to be a leader	Lean Right
The Dow just tumbled into a bear market — here’s how long those downturns last on average	people lose money happy to get a good deal careless gets a raise to be a success to be a gambler sad to get the best deal	Lean Right
As the Senate Spars on Claims Obama Gets a Report on Russian Hacking	people are affected by the incident angry to get their money racist gets yelled at to be a good citizen to have the information justified to get a report back	Lean Right
Clinton decries fake news in first speech since election loss	people listen sad to hear more information mean gets yelled at by people to make a point to have heard bad news sad to make a change	Lean Right
Republicans hold on to a North Carolina congressional seat plagued by election fraud	people lose money angry to win the election greedy gets called a liar to be a politician to have a lot of money happy to get away from people	Left
ISIS: California Killers Were 'Soldiers' of Caliphate	they get killed scared to get away from personx brave they are killed by calipkillers to kill to have a job proud to kill them	Lean Right
Crucial Subset: Female Voters Still Deciding	vote for personx happy to vote for personx influential gets called a racist to vote to have a vote happy to win the election	Lean Left
CDC Using Antibody Tests to Gauge Number of Asymptomatic Coronavirus Cases	they get cured worried to get better careful gets a disease to know the answer to be a doctor nervous to make sure they are healthy	Right
19 firefighters killed in Arizona blaze; 'Our entire crew was lost'	people died sad to get back to work injured is arrested to save lives to have been shot sad to go to jail	Lean Left
Democrats offer sweeping police reform bill	people lose money grateful to thank personx powerful gets a medal of valor to be a good citizen to be a racist happy to be a good citizen	Lean Left
FTC settles with Facebook for $5 billion fine: report	gets a new friend happy to thankx for their time rich gets a call from friends to be rich to have a profile happy to get a new job	Center
House passes $4 trillion budget clears way for Trump tax plan	loses money happy to thank him rich gets stressed to be rich to have a budget problem happy to get a good deal	Lean Right
NRA urges states to allow more armed officers in schools	they are safe grateful to protest authoritative gets arrested to be helpful to be in charge happy to make sure the children are safe	Lean Right
'No choice but to act': House Speaker Pelosi asks chairmen to pursue articles of impeachment against President Trump	none none none none none none none none none	Center
Obama to name John Brennan to lead CIA	gets caught annoyed to get away from personx smart gets arrested to be a leader to have the right information happy to get a new name	Lean Left
Obama lobbies again for immigration push	people are forced to leave annoyed to get a ticket greedy gets stressed to be in a better situation to have a ticket happy to get out of debt	Lean Right
Solar Industry Braces For Job Losses As Trump Puts Fees On Imported Panels	people lose money annoyed to get paid greedy gets paid well to make money to be a businessman powerful to get paid	Left
Loretta Lynch Confirmed as Next Attorney General	people lose money angry to file a motion powerful gets a settlement to be heard to be in office satisfied to win	Center
Trump backs out of G-7 agreement lashes out at 'meek and mild' Justin Trudeau for 'dishonest' press conference	none none none none none none none none none	Lean Right
Trump and Republicans face fresh test to shape Supreme Court assert their power with Gorsuch hearings	none none none none none none none none none	Lean Left
Hey Aziz Ansari defenders saying 'no' is more complex than you think	gets hurt annoyed to get away from personx smart is understood to be right to have the knowledge of the situation superior to be understood	Left
Should Trump Foes See Tillerson At State As Last Straw Or First Ray Of Hope?	they get a good deal disappointed to win the game wise to win to be right to be in the right place happy to be right	Center
Paul Manafort strikes deal with Mueller team pleads guilty to two felony charges	gets caught angry to get out their money guilty gets arrested to be guilty to have a criminal guilty to get out of trouble	Center
The Health Site's Chaotic Debut	people are more informed annoyed to get a better job irresponsible gets praised to get rid of the junk to have been doing something illegal happy to be seen as an example of the best	Lean Left
Government shutdown day 3: White House awaits Democratic reply to 'counteroffer' to $5B for border wall	none none none none none none none none none	Center
Bernie Thrills Base But Hillary Outclasses Rivals in Debate	they are defeated annoyed to get their point across smart gets into trouble to be the best to be a politician justified to be successful	Right
Bipartisan Agreement Reached to Fund Government Through September	people lose money happy to get their work done responsible gets a receipt to help the people to have a meeting happy to get a good deal	Lean Left
Kavanaugh Accuser Wants an FBI Probe Before She'll Testify - Now What?	gets caught angry to get a better case curious if she will be a witness to know to be in the police station satisfied to testify	Right
Sessions Targets California Immigrants Using a Ruling That Protected Them	they get a better deal grateful to protest smart gets a raise to be a better country to have the authority powerful to make sure the people are safe	Lean Left
White House Still Won’t Say When Trump Last Tested Negative For Coronavirus	they are disappointed disappointed to find out why uninformed gets yelled at to be a failure to have the same symptoms as before sad to get away from the situation	Right
Senate approves budget sends to Obama	people are affected happy to thank them smart gets a receipt to be a good citizen to have a budget happy to make a report	Lean Left
Helping Hands Need A Break Too: How To Lend Support Without Burning Out	gets tired grateful to thank personx needy gets tired to be helpful to be tired tired to get a job	Center
Biden Lays Out His Objections to Impeachment Subpoena Demand	gets nervous angry to argue the case angry gets yelled at to be in control to have a case justified to get a new job	Center
House Votes To OK Lawsuit Against Obama	people lose money angry to win racist gets sued to be fair to have seen the evidence justified to win the case	Center
AirAsia Flight Said to Be Lost in Indonesia	they get a ticket for the trip worried to get to their destination lost gets lost to be lost to have booked a flight worried to get to the airport	Lean Left
Klobuchar pulls back from consideration as Biden's running mate	gets into trouble happy to get away from personx thoughtful gets yelled at to be fair to have a reason satisfied to be a better person	Center
HealthCare.gov Opens for Second Year of Enrollments	gets a new job happy to give personx a chance responsible gets a new job to get a good job to have a job happy to get a job	Center
OPINION: Obama should act with restraint on court: Column	people are safe controlled to get out of jail cautious gets arrested to be in charge to have a case in control to be a good citizen	Center
North and South Korea Set Bold Goals: A Final Peace and No Nuclear Arms	people are affected happy to win brave is praised to be successful to be in charge happy to win	Lean Left
John McCain to Discontinue Medical Treatment for Brain Cancer	they are grateful to him grateful to help him determined gets a bill to be healthy to have an illness sad to get better	Center
Google's firing of memo writer strikes nerve in Silicon Valley	gets fired annoyed to get their point across aggressive gets fired to be a jerk to be in a meeting with a client nervous to fire the boss	Center
Trump administration drops plan to bar international students from USA	students are sent to jail sad to protest mean spirited gets yelled at to be a good teacher to have a plan sad to make sure the students get a better job	Lean Left
Hiring Growth Slowed in February as Employers Struggled to Find Workers	they get a new job grateful to hire personx determined gets a raise to be successful to have a budget hopeful to make more money	Center
No school choice: Holder mandates schools must enroll children of illegal immigrants	children get a better education angry to get a job strict gets a new job to be a good citizen to be a teacher happy to make sure the kids get good grades	Lean Right
The Case for Setting H-1Bs Free	they get a new job grateful to thank him willful gets a promotion to be free to be in court happy to make sure the cases are safe	Lean Right
Trump Pelosi clash over mail-in voting as virus looms over election	people vote against person x angry to vote powerful gets called out to be in charge to have the ability to vote powerful to win the election	Lean Right
Romney Recruiting Kasich Sasse for Third Party Presidential Run	people get nervous annoyed to get a new president aggressive gets promoted to get a good deal to have a meeting happy to get a good price	Right
Cyntoia Brown granted clemency years after getting life sentence for killing man as teen	cries sad to get a lawyer cruel gets arrested to be free to be a criminal sad to get a new job	Lean Right
The sequester: A tea party victory	people get drunk happy to thank personx proud gets drunk to be a success to have a recipe happy to celebrate	Lean Left
Obamacare 2015 open enrollment set to be delayed one month	people get nervous happy to wait for the next month slow to be honest to wait to be a year older happy to have a good job to wait for the opening	Lean Left
USA deficit hits nearly $1 trillion. When will it matter?	they are disappointed sad to get a new one careless gets stressed to be rich to be in a hurry happy to be successful	Center
Trump-Backed Candidates Emerge Victorious in Florida Arizona Primaries	they get a new client disappointed to win successful gets a trophy to win to have the skills to do it happy to win the competition	Right
Rand Paul set to upend Trump impeachment trial in push for whistleblower’s name	none none none none none none none none none	Lean Right
Now Dems worry: Did President Obama cry wolf?	people get sick sad to thank personx brave gets arrested to not get sick to have a problem sad to be a good person	Lean Left
Police seize rifle from St. Louis couple who pulled guns on Black Lives Matter protesters	people get hurt angry to get away aggressive gets shot to kill people to be a cop happy to get away with it	Lean Left
More Federal Privileges to Extend to Same-Sex Couples	gets a massage happy to thank personx dominant gets a massage to be more careful to be a dominater happy to be a good citizen	Lean Left
